,name,shortLife,dailySimilarity,repeatingPatterns,accessRatio,NumberOfDistinctIps,NumOfDistCountries,NumberOfDomainsThatShareIP,ReverseDNSQuery,AverageTTL,StdDevOfTTL,NumOfDistTTL,NumOfTTLChange,PercOfSpecTTl,PercOfNumChars,PercOfLengthOfLMS,Blacklisted
0,4shared.com,0,0,0,0,4,0,0,0,3578.0,80.03999000499688,2,0.0,"{'0;1': 0, '1;10': 0, '10:100': 0, '100;300': 0, '300;900': 0, '900;inf': 7.142857142857143}",0.09090909090909091,0.5454545454545454,False
1,8bp.co,0,0,0,0,5,0,0,0,60.0,0.0,1,0.0,"{'0;1': 0, '1;10': 0, '10:100': 0, '100;300': 0, '300;900': 0, '900;inf': 0, '10;100': 100.0}",0.16666666666666666,0.3333333333333333,False
2,9to5mac.com,0,0,0,0,1,0,0,0,2964.3344594594596,1046.3997484328754,114,5.290322580645161,"{'0;1': 0, '1;10': 0, '10:100': 0, '100;300': 0.33783783783783783, '300;900': 0.33783783783783783, '900;inf': 0.33783783783783783, '10;100': 0.33783783783783783}",0.18181818181818182,0.2727272727272727,False
3,9gag.com,0,0,0,0,5,0,0,0,236.6448471121178,92.33430354722016,300,88.96774193548387,"{'0;1': 0, '1;10': 0.11325028312570781, '10:100': 0, '100;300': 0.022650056625141562, '300;900': 56.602491506228766, '900;inf': 0, '10;100': 0.045300113250283124}",0.125,0.375,False
4,3bf.mobi,0,0,0,0,1,0,0,0,5145.489361702128,2411.5700629180624,27,12.0,"{'0;1': 0, '1;10': 0, '10:100': 0, '100;300': 2.127659574468085, '300;900': 2.127659574468085, '900;inf': 2.127659574468085}",0.125,0.375,False
5,2ch-c.net,0,0,0,0,4,0,0,0,299.97777777777776,0.14823135407896973,2,0.047619047619047616,"{'0;1': 0, '1;10': 0, '10:100': 0, '100;300': 2.2222222222222223, '300;900': 97.77777777777777, '900;inf': 0}",0.1111111111111111,0.3333333333333333,False
6,8muses.com,0,0,0,0,4,0,0,0,299.97872340425533,0.14507865158346242,2,0.04,"{'0;1': 0, '1;10': 0, '10:100': 0, '100;300': 2.127659574468085, '300;900': 97.87234042553192, '900;inf': 0}",0.1,0.5,False
7,1s7.de,0,0,0,0,1,0,0,0,302.38235294117646,44.71594841642911,5,3.5,"{'0;1': 0, '1;10': 0, '10:100': 0, '100;300': 2.9411764705882355, '300;900': 88.23529411764706, '900;inf': 0}",0.3333333333333333,0.3333333333333333,True
8,123movies.net,0,0,0,0,24,0,0,0,298.0,16.124038432868343,2,0.04,"{'0;1': 0, '1;10': 0, '10:100': 0, '100;300': 1.5267175572519085, '300;900': 98.47328244274809, '900;inf': 0}",0.23076923076923078,0.46153846153846156,False
9,247sports.com,0,0,0,0,4,0,0,0,291.4,39.652549554757115,4,0.21739130434782608,"{'0;1': 0, '1;10': 0, '10:100': 0, '100;300': 1.6666666666666667, '300;900': 95.0, '900;inf': 0, '10;100': 1.6666666666666667}",0.23076923076923078,0.46153846153846156,False
10,31b4bd31fg1x2.org,0,0,0,0,2,0,0,0,267.4743935309973,72.4150295498025,69,4.166666666666667,"{'0;1': 0, '1;10': 0.2695417789757412, '10:100': 0, '100;300': 0.2695417789757412, '300;900': 77.89757412398922, '900;inf': 0, '10;100': 0.2695417789757412}",0.4117647058823529,0.17647058823529413,False
11,171gifs.com,0,0,0,0,8,0,0,0,294.4006359300477,31.960092545524894,12,0.6451612903225806,"{'0;1': 0, '1;10': 0, '10:100': 0, '100;300': 0.3179650238473768, '300;900': 95.8664546899841, '900;inf': 0, '10;100': 0.3179650238473768}",0.2727272727272727,0.2727272727272727,False
12,7vvr.fm,0,0,0,0,1,0,0,0,60.0,0.0,1,0.0,"{'0;1': 0, '1;10': 0, '10:100': 0, '100;300': 0, '300;900': 0, '900;inf': 0, '10;100': 100.0}",0.14285714285714285,0.2857142857142857,False
13,9anime.to,0,0,0,0,18,0,0,0,297.6054794520548,19.435178677047656,9,0.6774193548387096,"{'0;1': 0, '1;10': 0, '10:100': 0, '100;300': 0.273972602739726, '300;900': 96.71232876712328, '900;inf': 0, '10;100': 0.273972602739726}",0.1111111111111111,0.5555555555555556,False
14,99designs.com,0,0,0,0,3,0,0,0,59.46913580246913,3.5088086226724933,5,0.2,"{'0;1': 0, '1;10': 0, '10:100': 0, '100;300': 0, '300;900': 0, '900;inf': 0, '10;100': 0.6172839506172839}",0.15384615384615385,0.5384615384615384,False
15,51wnl.com,0,0,0,0,1,0,0,0,586.1333333333333,37.221089771922635,3,0.18181818181818182,"{'0;1': 0, '1;10': 0, '10:100': 0, '100;300': 0, '300;900': 6.666666666666667, '900;inf': 0}",0.2222222222222222,0.3333333333333333,False
16,1d4chan.org,0,0,0,0,2,0,0,0,3583.2045454545455,111.40844182148366,2,0.0,"{'0;1': 0, '1;10': 0, '10:100': 0, '100;300': 0, '300;900': 0, '900;inf': 2.272727272727273}",0.18181818181818182,0.2727272727272727,False
17,4sysops.com,0,0,0,0,2,0,0,0,26050.037037037036,6866.364369331244,5,0.13333333333333333,"{'0;1': 0, '1;10': 0, '10:100': 0, '100;300': 0, '300;900': 0, '900;inf': 3.7037037037037037}",0.09090909090909091,0.5454545454545454,False
18,18qt.com,0,0,0,0,1,0,0,0,3324.8285714285716,810.5631116595384,7,0.4,"{'0;1': 0, '1;10': 0, '10:100': 0, '100;300': 0, '300;900': 2.857142857142857, '900;inf': 5.714285714285714}",0.25,0.375,False
19,4finance.com,0,0,0,0,2,0,0,0,14508.222222222223,7018.089348856078,69,2.76,"{'0;1': 0, '1;10': 0, '10:100': 0, '100;300': 0.9259259259259259, '300;900': 0.9259259259259259, '900;inf': 0.9259259259259259}",0.08333333333333333,0.5833333333333334,False
20,7vv.fm,0,0,0,0,1,0,0,0,59.29545454545455,4.673425840955336,2,1.0,"{'0;1': 0, '1;10': 0, '10:100': 0, '100;300': 0, '300;900': 0, '900;inf': 0, '10;100': 2.272727272727273}",0.16666666666666666,0.3333333333333333,False
21,0i0i0i0.com,0,0,0,0,1,0,0,0,1043.8843484965305,571.2050862022311,786,37.54838709677419,"{'0;1': 0, '1;10': 0.07710100231303008, '10:100': 0, '100;300': 0.07710100231303008, '300;900': 0.07710100231303008, '900;inf': 0.07710100231303008, '10;100': 0.07710100231303008}",0.36363636363636365,0.2727272727272727,False
22,163.com,0,0,0,0,2,0,0,0,474.2109411219286,192.1099690649562,459,49.25806451612903,"{'0;1': 0, '1;10': 0.0927213722763097, '10:100': 0, '100;300': 0.04636068613815485, '300;900': 0.04636068613815485, '900;inf': 0, '10;100': 0.0927213722763097}",0.42857142857142855,0.42857142857142855,False
23,43jr.vg,0,0,0,0,1,0,0,0,10392.5,815.0,2,1.0,"{'0;1': 0, '1;10': 0, '10:100': 0, '100;300': 0, '300;900': 0, '900;inf': 25.0}",0.2857142857142857,0.2857142857142857,False
24,24timezones.com,0,0,0,0,8,0,0,0,290.2163120567376,44.96723859053379,28,1.6129032258064515,"{'0;1': 0, '1;10': 0.1773049645390071, '10:100': 0, '100;300': 0.1773049645390071, '300;900': 93.70567375886525, '900;inf': 0, '10;100': 0.1773049645390071}",0.13333333333333333,0.6,False
