name,NumberOfDistinctIps,NumOfDistCountries,NumberOfDomainsThatShareIP,ReverseDNSQueryARecrods,ReverseDNSQueryNSrecords,ReverseDNSErrors,Blacklisted,shortLife_nchanges,shortLife_avgReq,dailySimilarity,repeatingPatterns_nChanges,repeatingPatterns_avgReq,repeatingPatterns_stdChangeLen,accessRatio_idle,accessRatio_active,AverageTTL,StdDevOfTTL,NumOfDistTTL,NumOfTTLChange,SpecTTL01,SpecTTL110,SpecTTL10100,SpecTTL100300,SpecTTL300900,SpecTTL900inf,PercOfNumChars,PercOfLengthOfLMS
8bp.co,5,1,0,1.0,0.0,1.0,False,28,1.8571428571428568,6.6502970049955294,31,2.193548387096774,1.4142135623730951,False,True,60.0,0.0,1,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.1666666666666666,0.3333333333333333
8muses.com,4,1,0,0.0,0.0,1.0,False,1,3.0,5.320223154315668,5,1.0,1.0,False,True,299.97872340425533,0.1450786515834624,2,0.04,0.0,0.0,0.0,2.127659574468085,97.87234042553192,0.0,0.1,0.5
1s7.de,1,1,0,1.0,0.0,1.0,True,5,3.6,0.905837615616378,6,2.1666666666666665,0.0,True,False,302.38235294117646,44.71594841642911,5,3.5,0.0,0.0,0.0,2.9411764705882355,88.23529411764706,0.0,0.3333333333333333,0.3333333333333333
1stdibs.com,1,1,0,0.0,0.0,1.0,False,0,0.0,0.6131032027471535,4,0.5,1.0,True,False,3600.0,0.0,1,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0909090909090909,0.3636363636363636
24h.com.vn,2,1,0,0.0,0.0,1.0,False,0,0.0,0.9113209974559456,4,1.0,3.1622776601683795,True,False,100.0,0.0,1,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.2,0.3
6bmd.com,1,1,0,0.0,0.0,1.0,False,0,0.0,3.033768064196402,4,0.5,1.0,False,False,1769.1875,119.25,2,0.0909090909090909,0.0,0.0,0.0,0.0,0.0,6.25,0.125,0.375
2app.lk,2,1,0,1.0,0.0,1.0,False,8,2.5,5.371619809527185,9,1.7777777777777777,2.0,False,True,297.82758620689657,16.27843038581335,3,0.238095238095238,0.0,0.0,0.0,3.4482758620689653,94.82758620689656,0.0,0.1428571428571428,0.4285714285714285
10minutemail.com,6,1,0,0.0,0.0,1.0,False,27,2.2962962962962963,6.516465559330136,35,2.3142857142857145,1.0,False,True,286.4485294117647,43.46443430471756,14,0.7,0.0,0.0,0.7352941176470589,0.7352941176470589,88.97058823529412,0.0,0.125,0.375
411mania.com,6,1,0,0.0,0.0,1.0,False,30,2.1333333333333333,6.728553328227839,32,2.21875,1.4142135623730951,False,True,299.16410256410256,9.583469478729327,5,0.1935483870967742,0.0,0.0,0.0,0.5128205128205128,97.94871794871794,0.0,0.25,0.4166666666666667
3dtotal.com,11,1,0,1.0,0.0,1.0,False,2,0.0,4.566048799337992,4,1.25,3.1622776601683795,False,True,30.0,0.0,1,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0909090909090909,0.4545454545454545
4chan.org,2,1,0,0.0,0.0,1.0,False,39,2.333333333333333,6.65225264375836,41,1.7804878048780488,1.0,False,True,288.92139737991266,49.4470335348376,14,0.6451612903225806,0.0,0.8733624454148472,0.4366812227074236,0.4366812227074236,93.88646288209608,0.0,0.1111111111111111,0.3333333333333333
1drv.ms,1,1,0,1.0,4.0,0.0,False,156,111.5448717948718,3.5699198610509755,150,115.63333333333334,1.7320508075688772,False,True,50.22771076218074,17.17398964407582,60,238.83870967741936,0.0,0.5593368825392546,0.5256418896152032,0.0,0.0,0.0,0.1428571428571428,0.2857142857142857
24smi.info,1,1,0,0.0,0.0,1.0,False,1,4.0,4.967200120595778,5,1.4,1.0,False,True,179.125,5.916529316156236,3,0.15,0.0,0.0,0.0,2.083333333333333,0.0,0.0,0.2,0.4
8tracks.com,4,1,0,0.0,0.0,1.0,False,18,2.111111111111111,5.990664251957621,23,1.6956521739130437,1.4142135623730951,False,True,298.3061224489796,16.623991413872876,3,0.1111111111111111,0.0,0.0,0.0,1.020408163265306,97.95918367346938,0.0,0.0909090909090909,0.5454545454545454
audioboom.com,6,1,0,0.0,0.0,1.0,False,46,3.0869565217391304,6.629306734019704,42,2.9285714285714284,1.0,False,True,283.8636363636364,57.28041775957821,39,2.161290322580645,0.0,0.2525252525252525,0.2525252525252525,0.2525252525252525,89.64646464646465,0.0,0.0,0.3846153846153846
audiokarma.org,1,1,0,1.0,2.0,0.0,False,4,1.5,6.00782245501352,5,0.4,1.0,False,True,281.75925925925924,59.18214136075784,6,0.1923076923076923,0.0,0.0,1.851851851851852,1.851851851851852,90.74074074074076,0.0,0.0,0.3571428571428571
accuweather.com,1,1,0,1.0,0.0,1.0,False,0,0.0,3.758401001061464,4,0.5,1.0,False,False,20.0,0.0,1,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.4666666666666667
adcash.com,2,1,0,0.0,0.0,1.0,False,4,2.0,4.237548678941868,8,1.5,0.0,False,True,300.0,0.0,1,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.4
apple.co,2,1,0,1.0,0.0,1.0,False,77,4.012987012987013,6.483000559013867,79,3.9873417721518982,1.4142135623730951,False,True,536.191037735849,142.0614590542652,88,4.967741935483871,0.0,0.2358490566037736,0.2358490566037736,0.2358490566037736,0.2358490566037736,0.0,0.0,0.625
addgadgets.com,8,1,0,0.0,0.0,1.0,False,180,15.927777777777775,6.477464545741698,182,16.060439560439562,1.7320508075688772,False,True,271.0740302043234,68.74137129044948,235,30.0,0.0,0.0740302043233639,0.0296120817293455,0.0296120817293455,80.05626295528576,0.0,0.0,0.5
acg.rip,2,1,0,1.0,0.0,1.0,False,11,2.5454545454545454,5.583135927455557,14,2.142857142857143,1.0,False,True,291.58024691358025,41.91535046899013,6,0.3043478260869565,0.0,1.2345679012345678,0.0,1.2345679012345678,93.82716049382717,0.0,0.0,0.4285714285714285
adelement.com,1,1,0,1.0,0.0,1.0,False,4,3.0,5.978574224210478,7,1.7142857142857142,0.0,False,True,73862.4328358209,17932.494941445435,41,1.2592592592592593,0.0,0.0,0.0,0.0,0.0,1.492537313432836,0.0,0.5384615384615384
apicit.net,1,1,0,0.0,0.0,1.0,False,2,0.5,5.53959728740073,4,0.5,1.7320508075688772,False,True,75305.16326530612,20695.14416409775,22,0.6521739130434783,0.0,0.0,0.0,0.0,0.0,2.0408163265306123,0.0,0.3
archive.is,2,1,0,0.0,0.0,1.0,False,82,3.048780487804878,6.126953537424986,89,2.752808988764045,1.4142135623730951,False,True,277.05949008498584,68.28769668876986,42,2.4516129032258065,0.0,0.28328611898017,0.28328611898017,0.28328611898017,86.11898016997168,0.0,0.0,0.7
adskeeper.co.uk,5,1,0,0.0,0.0,1.0,False,8,1.875,5.842600907432853,14,1.7857142857142858,1.7320508075688772,False,True,298.2173913043478,14.243388475638351,3,0.1111111111111111,0.0,0.0,0.0,1.4492753623188406,97.10144927536231,0.0,0.0,0.4
addictpodcast.com,2,1,0,1.0,0.0,1.0,False,156,4.737179487179487,4.934245955392499,137,4.839416058394161,1.4142135623730951,False,True,2541.184827586207,1195.0636377985336,408,18.35483870967742,0.0,0.0,0.1379310344827586,0.2758620689655172,0.1379310344827586,0.1379310344827586,0.0,0.4117647058823529
aaw.cc,3,1,0,1.0,0.0,1.0,True,0,0.0,0.3094084853750141,0,0.0,0.0,True,False,3066.0,584.9676914155174,2,1.0,0.0,0.0,0.0,0.0,0.0,50.0,0.0,0.3333333333333333
avads.net,1,1,0,1.0,0.0,1.0,False,11,2.272727272727273,6.290170621089783,12,1.1666666666666667,0.0,False,True,583.1829268292682,87.59293167954137,4,0.1071428571428571,0.0,0.0,1.2195121951219512,1.2195121951219512,96.34146341463416,0.0,0.0,0.3333333333333333
acgtracker.com,8,1,0,0.0,0.0,1.0,False,7,2.7142857142857144,5.450368932088625,11,2.090909090909091,1.7320508075688772,False,True,295.6190476190476,26.288529019153344,3,0.0869565217391304,0.0,0.0,0.0,1.3605442176870748,97.27891156462584,0.0,0.0,0.5
adelixir.com,4,1,0,1.0,0.0,1.0,False,0,0.0,0.6131032027471535,4,0.5,1.0,True,False,60.0,0.0,1,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.5
