,name,NumberOfDistinctIps,NumOfDistCountries,NumberOfDomainsThatShareIP,ReverseDNSQueryARecrods,ReverseDNSQueryNSrecords,ReverseDNSErrors,Blacklisted
0,8bp.co,5,1,0,1.0,0.0,1.0,False
1,8muses.com,4,1,0,0.0,0.0,1.0,False
2,1s7.de,1,1,0,1.0,0.0,1.0,True
3,1stdibs.com,1,1,0,0.0,0.0,1.0,False
4,24h.com.vn,2,1,0,0.0,0.0,1.0,False
5,6bmd.com,1,1,0,0.0,0.0,1.0,False
6,2app.lk,2,1,0,1.0,0.0,1.0,False
7,10minutemail.com,6,1,0,0.0,0.0,1.0,False
8,411mania.com,6,1,0,0.0,0.0,1.0,False
9,3dtotal.com,11,1,0,1.0,0.0,1.0,False
10,4chan.org,2,1,0,0.0,0.0,1.0,False
11,1drv.ms,1,1,0,1.0,4.0,0.0,False
12,24smi.info,1,1,0,0.0,0.0,1.0,False
13,8tracks.com,4,1,0,0.0,0.0,1.0,False
14,audioboom.com,6,1,0,0.0,0.0,1.0,False
15,audiokarma.org,1,1,0,1.0,2.0,0.0,False
16,accuweather.com,1,1,0,1.0,0.0,1.0,False
17,adcash.com,2,1,0,0.0,0.0,1.0,False
18,apple.co,2,1,0,1.0,0.0,1.0,False
19,addgadgets.com,8,1,0,0.0,0.0,1.0,False
20,acg.rip,2,1,0,1.0,0.0,1.0,False
21,adelement.com,1,1,0,1.0,0.0,1.0,False
22,apicit.net,1,1,0,0.0,0.0,1.0,False
23,archive.is,2,1,0,0.0,0.0,1.0,False
24,adskeeper.co.uk,5,1,0,0.0,0.0,1.0,False
25,addictpodcast.com,2,1,0,1.0,0.0,1.0,False
26,aaw.cc,3,1,0,1.0,0.0,1.0,True
27,avads.net,1,1,0,1.0,0.0,1.0,False
28,acgtracker.com,8,1,0,0.0,0.0,1.0,False
29,adelixir.com,4,1,0,1.0,0.0,1.0,False
30,agar.io,10,1,0,0.0,0.0,1.0,False
31,archive.fo,1,1,0,0.0,0.0,1.0,False
32,amazonaws.com,3,1,0,0.0,0.0,1.0,False
33,anime-planet.com,3,1,0,0.0,0.0,1.0,False
34,appleinsider.com,6,1,0,0.0,0.0,1.0,False
35,argos.co.uk,1,1,0,1.0,0.0,1.0,False
36,astromenda.com,20,1,0,1.0,0.0,1.0,False
37,avistaz.to,3,1,0,0.0,0.0,1.0,False
38,all.co.il,1,1,0,1.0,0.0,1.0,True
39,atom.io,97,1,0,0.9896907216494846,0.0,1.0,False
40,armorgames.com,6,1,0,0.0,0.0,1.0,False
41,alice.it,1,1,0,1.0,0.0,1.0,False
42,amplitude.com,16,1,0,1.0,0.0,1.0,False
43,aruba.it,1,1,0,0.0,0.0,1.0,False
44,ay.gy,14,1,0,0.0,0.0,1.0,False
45,adhitzads.com,61,1,0,0.0,0.0,1.0,False
46,ad4mat.net,1,1,0,1.0,0.0,1.0,False
47,alison.com,4,1,0,0.0,0.0,1.0,False
48,art19.com,4,1,0,0.0,0.0,1.0,False
49,autohdvideoapi.com,4,1,0,1.0,0.0,1.0,False
50,aqicn.org,1,1,0,1.0,0.0,1.0,False
